AK	, 0.7537592515494244, 0.809936677677927
AL	, 0.6662645798741619, 1.0167087108877992
AR	, 0.6235523083304088, 0.8762403088408895
AZ	, 0.6687714925237939, 0.8870662343515874
CA	, 0.8488838095913978, 1.2087592276900612
CO	, 0.687379833741805, 0.8960676834646979
CT	, 0.5454933747394373, 0.8378773368509052
DC	, 2.1189652331520845, 2.755149118470918
DE	, 0.8014494842141923, 1.0579913775504077
FL	, 0.8086612954812077, 1.068873017205385
GA	, 0.8361869996307626, 1.2585254952906788
HI	, 0.5797538234426278, 0.6802745641920578
IA	, 0.35771971239810496, 0.4832259237851377
ID	, 0.42552811078034347, 0.5360819826987661
IL	, 0.6442530323424785, 0.9276589281999321
IN	, 0.4456401773470061, 0.6009387537406485
KS	, 0.3974048807422099, 0.5196212101031089
KY	, 0.5409877524084904, 0.7789062262569953
LA	, 1.0767841405620369, 1.5654365561106671
MA	, 0.6469290317755145, 1.0127442792023502
MD	, 1.2613490250274602, 1.684984611420593
ME	, 0.44465147793681714, 0.6036998911988325
MI	, 0.6189581677702176, 0.8844795384160399
MN	, 0.3983681283554955, 0.5086284904638729
MO	, 0.6428088870336617, 0.8918770554963746
MS	, 0.8800660340989641, 1.3303974481738028
MT	, 0.44852421267356224, 0.5691652118413396
NC	, 1.184662849994652, 1.5640319420116082
ND	, 0.2587664370695053, 0.3312460864120225
NE	, 0.36993509188189194, 0.4886640458443282
NH	, 0.5429785116456856, 0.6877607613058169
NJ	, 0.8446495738525376, 1.2189095530406246
NM	, 0.5709970965018755, 0.7840566997278672
NV	, 0.9144365315314191, 1.0160313454531535
NY	, 1.0442648615613113, 1.6814360726285134
OH	, 0.536990711355047, 0.7565606154263138
OK	, 0.5586560210580862, 0.7615435602598563
OR	, 0.6566816344811159, 0.8333682226602837
PA	, 0.8381669100813751, 1.1342707401661538
PR	, 93780.95687240083, 1.786974412818491E7
RI	, 0.5464072453022729, 0.863807769885118
SC	, 1.1253611219538917, 1.6135873918713466
SD	, 0.3370670283504118, 0.40387698921270565
TN	, 0.6831809742710191, 0.986614204710299
TX	, 0.8489442504669882, 1.1929407512196444
UT	, 0.36497663754824855, 0.49209159241953737
VA	, 1.0893987385245851, 1.3880884215847862
VI	, 0.1728727322731782, 0.30842067007828383
VT	, 0.5625864048134367, 0.7113181865029018
WA	, 0.6342090274050628, 0.8302148564158159
WI	, 0.44182380647982356, 0.6012344409558178
WV	, 0.46959063316674815, 0.6388707521758016
WY	, 0.37478945651119516, 0.46495939046006507
